0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,b
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b
b,0,0,0,0,0,0,0,0,0,1,1,0,0,b,b
0,0,0,0,0,0,0,0,0,0,0,0,0,0,b,b
0,0,0,0,0,0,0,0,0,0,0,0,0,0,b,b
0,0,0,0,0,0,0,0,1,0,0,0,0,b,b,b
0,0,0,0,0,0,0,0,0,0,0,0,0,b,b,b
5,0,0,0,0,0,0,0,0,0,0,0,0,b,b,b
b,0,0,0,0,0,0,0,0,0,0,0,b,b,b,b
0,0,0,0,0,0,0,0,0,0,0,0,b,b,b,b
0,0,0,0,0,0,0,0,0,0,0,0,b,b,b,b
0,0,0,0,0,0,0,0,0,0,0,b,b,b,b,b
0,0,0,0,0,0,0,0,0,0,0,b,b,b,b,b
0,0,0,0,0,0,0,0,0,0,0,b,b,b,b,b
0,0,0,0,1,1,1,0,0,0,b,b,b,b,b,b
0,0,0,0,b,b,b,b,b,b,0,0,0,0,0,0
b,0,0,0,b,b,b,b,b,b,0,0,0,0,3,b
b,0,0,8,b,b,b,b,b,b,0,0,1,1,1,b
b,0,0,0,b,b,b,b,b,b,0,0,0,0,0,b
b,8,0,0,b,b,b,b,b,b,0,0,0,0,0,b
b,0,0,0,b,b,b,b,b,b,1,1,0,0,0,b
b,0,0,0,b,b,b,b,b,b,0,0,0,0,0,b
b,0,0,8,0,0,0,0,0,0,0,0,0,0,0,b
b,0,0,0,0,0,0,0,0,0,0,0,1,1,1,b
b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b
b,8,0,0,0,0,0,1,1,1,0,0,0,0,0,b
b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b
b,0,0,0,0,0,0,0,0,0,0,0,0,5,0,b
b,0,0,b,b,b,b,b,b,b,b,b,b,b,b,b
b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b
b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b
b,b,b,0,0,0,0,0,0,0,0,0,0,0,0,b
b,b,0,0,0,0,0,0,0,0,0,0,0,0,5,b
b,b,0,0,8,0,0,0,0,0,0,0,0,0,b,b
b,b,0,0,0,0,0,0,0,0,0,0,0,0,0,b
b,b,0,0,0,0,8,0,0,0,0,0,0,0,0,b
b,b,0,0,0,0,0,0,0,0,0,0,0,0,0,b
b,b,0,0,0,0,0,0,8,0,0,0,0,0,0,b
b,b,0,0,0,0,0,0,0,0,0,0,0,b,b,b
b,b,b,0,0,0,0,0,0,0,0,0,0,0,0,b
b,b,0,0,0,0,0,0,0,0,0,0,0,0,0,b
b,b,0,0,0,0,0,0,0,0,8,0,0,0,b,b
b,b,0,0,0,0,0,0,0,0,0,0,0,0,b,b
b,b,0,0,0,8,0,0,0,0,0,0,0,0,b,b
b,b,0,0,0,0,0,0,0,0,0,0,0,0,b,b
b,b,0,0,0,0,0,8,0,0,0,0,0,0,b,b
b,b,0,0,0,0,0,0,0,0,0,0,0,0,b,b
b,b,0,0,0,0,0,0,0,0,0,0,0,b,b,b
