0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,b,b,b,b,b,b,b,b,b,b,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,b,0,0,b,0,0,0,0,0,0
0,0,0,0,b,b,b,0,0,b,b,b,0,0,0,0
0,0,0,b,b,0,0,0,0,0,0,b,b,0,0,0
0,0,b,b,0,0,0,0,0,0,0,0,b,b,0,0
0,0,b,0,0,0,0,1,1,0,0,0,0,b,0,0
0,0,b,0,0,0,0,0,0,0,0,0,0,b,0,0
0,0,b,0,0,0,0,0,0,0,0,0,0,b,0,0
0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0
