0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,b,b,b,b,b,0,0,0,0,0
0,0,0,b,b,b,b,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,b,b,b,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7,b,b,b,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,b,b,7,b,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,b,b,b,b,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,b,b
0,0,0,0,0,0,0,0,0,0,0,b,7,b,b,0
0,0,0,0,0,0,0,0,0,b,b,b,0,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
